site_number;trn_transaction_date;trn_promotion_id;trn_item_number;units;gross_amount;vat;cost_price
210870;2017-08-30;0;1036513;1.0;17.0;3.4;7.65
210350;2017-08-30;0;1098817;1.0;17.0;3.4;8.04
210240;2017-08-30;0;1098823;1.0;26.0;5.2;12.85
210350;2017-08-30;0;1098560;1.0;17.0;3.4;8.72
210929;2017-08-29;0;1098824;2.0;52.0;10.4;26.18
210845;2017-08-29;0;1036513;4.0;68.0;13.6;30.6
210929;2017-08-29;0;1036903;4.0;68.0;13.6;30.16
210929;2017-08-29;0;1038625;1.0;17.0;3.4;8.56
210845;2017-08-29;0;1038466;6.0;144.0;28.8;72.42
210929;2017-08-29;0;1098674;4.0;100.0;20.0;52.24
210240;2017-08-29;0;1038229;3.0;30.0;6.0;22.68
210350;2017-08-29;0;1098825;5.0;150.0;30.0;27.98
210929;2017-08-29;0;1036513;5.0;85.0;17.0;38.25
210870;2017-08-29;0;1098560;2.0;34.0;6.8;17.44
210870;2017-08-29;0;1038625;1.0;17.0;3.4;8.56
210929;2017-08-29;0;1098825;2.0;60.0;12.0;27.98
210240;2017-08-29;0;1098824;1.0;26.0;5.2;13.09
210845;2017-08-29;0;1098823;1.0;26.0;5.2;12.85
210845;2017-08-29;0;1036103;5.0;85.0;17.0;42.95
210870;2017-08-29;0;1098825;3.0;90.0;18.0;41.97
210929;2017-08-29;0;1110347;2.0;40.0;8.0;21.26
210929;2017-08-29;0;1038203;1.0;12.0;2.4;5.52
210350;2017-08-29;0;1098826;1.0;30.0;6.0;14.0
210350;2017-08-29;0;1098822;2.0;52.0;10.4;25.7
210240;2017-08-29;0;1038229;3.0;51.0;10.2;22.68
210240;2017-08-29;0;1038229;2.0;0.0;0.0;15.12
210870;2017-08-29;0;1098817;1.0;17.0;3.4;8.04
210240;2017-08-29;0;1098674;3.0;75.0;15.0;39.18
210870;2017-08-29;0;1036103;1.0;17.0;3.4;8.59
210929;2017-08-29;0;1036513;1.0;10.0;2.0;7.65
210350;2017-08-29;0;1036196;4.0;96.0;19.2;24.62
210240;2017-08-29;0;1098677;2.0;72.0;14.4;38.14
210870;2017-08-29;0;1098678;2.0;50.0;10.0;24.82
210870;2017-08-29;0;1036103;1.0;10.0;2.0;8.59
210845;2017-08-29;0;1098824;4.0;104.0;20.8;26.18
210845;2017-08-29;0;1098677;1.0;36.0;7.2;19.07
210929;2017-08-29;0;1036623;2.0;64.0;12.8;33.8
210845;2017-08-29;0;1036903;6.0;102.0;20.4;45.24
210240;2017-08-29;0;1036623;1.0;32.0;6.4;16.9
210870;2017-08-29;0;1098677;3.0;108.0;21.6;57.21
210929;2017-08-29;0;1098822;3.0;78.0;15.600000000000001;38.55
210870;2017-08-29;0;1038466;5.0;120.0;24.0;60.35
210240;2017-08-29;0;1098826;1.0;30.0;6.0;14.0
210929;2017-08-29;0;1038466;4.0;96.0;19.2;48.28
210350;2017-08-29;0;1098560;2.0;34.0;6.8;17.44
210240;2017-08-29;0;1036103;2.0;34.0;6.8;17.18
210845;2017-08-29;0;1038203;1.0;12.0;2.4;5.52
210929;2017-08-29;0;1098677;3.0;108.0;21.6;57.21
210350;2017-08-29;0;1110359;2.0;28.0;5.6;11.86
210240;2017-08-29;0;1036196;1.0;24.0;4.8;12.31
210350;2017-08-29;0;1036623;2.0;64.0;12.8;33.8
210845;2017-08-29;0;1098822;1.0;26.0;5.2;12.85
210870;2017-08-29;0;1038229;5.0;85.0;17.0;37.8
210240;2017-08-29;0;1110359;2.0;28.0;5.6;11.86
210350;2017-08-29;0;1098824;1.0;26.0;5.2;13.09
210845;2017-08-29;0;1110358;2.0;50.0;10.0;24.92
210929;2017-08-29;0;1098826;3.0;90.0;18.0;42.0
210870;2017-08-29;0;1036513;4.0;68.0;13.6;30.6
210929;2017-08-29;0;1110359;1.0;14.0;2.8;5.93
210350;2017-08-29;0;1038229;1.0;17.0;3.4;7.56
210929;2017-08-29;0;1036196;8.0;192.0;38.4;98.48
210350;2017-08-29;0;1038466;2.0;48.0;9.6;24.14
210929;2017-08-29;0;1110346;1.0;25.0;5.0;13.06
210240;2017-08-29;0;1098678;11.0;275.0;55.0;12.41
210929;2017-08-29;0;1098560;4.0;68.0;13.6;34.88
210845;2017-08-29;0;1098825;2.0;60.0;12.0;27.98
210870;2017-08-29;0;1110359;1.0;14.0;2.8;5.93
210845;2017-08-29;0;1098560;2.0;34.0;6.8;17.44
210350;2017-08-29;0;1110358;2.0;50.0;10.0;24.92
210929;2017-08-29;0;1098823;3.0;78.0;15.600000000000001;38.55
210929;2017-08-29;0;1110358;1.0;25.0;5.0;12.46
210845;2017-08-29;0;1098817;3.0;51.0;10.2;24.119999999999997
210870;2017-08-29;0;1098674;2.0;50.0;10.0;26.12
210240;2017-08-29;0;1038625;2.0;34.0;6.8;17.12
210870;2017-08-29;0;1036196;4.0;96.0;19.2;49.24
210240;2017-08-29;0;1098825;1.0;30.0;6.0;13.99
210929;2017-08-29;0;1038229;2.0;34.0;6.8;15.12
210240;2017-08-29;0;1036903;5.0;85.0;17.0;37.7
210845;2017-08-29;0;1038229;1.0;17.0;3.4;7.56
210870;2017-08-29;0;1098824;6.0;156.0;31.2;78.54
210870;2017-08-29;0;1098826;3.0;90.0;18.0;42.0
210845;2017-08-29;0;1098826;3.0;90.0;18.0;42.0
210240;2017-08-29;0;1098560;3.0;51.0;10.2;26.160000000000004
210240;2017-08-29;0;1038203;1.0;12.0;2.4;5.52
210929;2017-08-28;0;1098826;2.0;60.0;12.0;28.0
210845;2017-08-28;0;1038625;2.0;34.0;6.8;17.12
210350;2017-08-28;0;1098822;1.0;26.0;5.2;12.85
210845;2017-08-28;0;1038229;7.0;70.0;14.0;52.92
210240;2017-08-28;0;1098825;3.0;90.0;18.0;41.97
210240;2017-08-28;0;1038229;2.0;20.0;4.0;15.12
210845;2017-08-28;0;1098677;1.0;36.0;7.2;19.07
210240;2017-08-28;0;1036903;4.0;40.0;8.0;30.16
210240;2017-08-28;0;1038203;1.0;12.0;2.4;5.52
210240;2017-08-28;0;1110359;1.0;14.0;2.8;5.93
210845;2017-08-28;0;1110349;1.0;32.0;6.4;16.89
210870;2017-08-28;0;1036903;4.0;40.0;8.0;22.62
210929;2017-08-28;0;1098825;1.0;30.0;6.0;13.99
210870;2017-08-28;0;1098677;3.0;108.0;21.6;19.07
210929;2017-08-28;0;1038203;2.0;24.0;4.8;11.04
210870;2017-08-28;0;1038229;5.0;50.0;10.0;37.8
210929;2017-08-28;0;1038466;4.0;96.0;19.2;48.28
210350;2017-08-28;0;1098825;2.0;60.0;12.0;27.98
210929;2017-08-28;0;1098823;2.0;52.0;10.4;25.7
210929;2017-08-28;0;1098817;1.0;17.0;3.4;8.04
210240;2017-08-28;0;1036103;8.0;80.0;16.0;68.720000000000013
210240;2017-08-28;0;1110349;1.0;32.0;6.4;16.89
210870;2017-08-28;0;1036513;5.0;50.0;10.0;38.25
210870;2017-08-28;0;1038229;2.0;0.0;0.0;15.12
210870;2017-08-28;0;1098825;1.0;30.0;6.0;13.99
210929;2017-08-28;0;1036513;4.0;40.0;8.0;30.6
210929;2017-08-28;0;1098560;1.0;17.0;3.4;8.72
210929;2017-08-28;0;1110346;1.0;25.0;5.0;13.06
210845;2017-08-28;0;1038466;4.0;96.0;19.2;48.28
210929;2017-08-28;0;1036903;6.0;60.0;12.0;45.24
210845;2017-08-28;0;1038203;3.0;36.0;7.2;5.52
210845;2017-08-28;0;1098560;3.0;51.0;10.2;26.160000000000004
210870;2017-08-28;0;1036103;2.0;20.0;4.0;17.18
210929;2017-08-28;0;1110349;2.0;64.0;12.8;33.78
210929;2017-08-28;0;1038229;3.0;30.0;6.0;22.68
210350;2017-08-28;0;1038229;2.0;20.0;4.0;15.12
210870;2017-08-28;0;1098678;1.0;25.0;5.0;12.41
210870;2017-08-28;0;1098826;1.0;30.0;6.0;14.0
210350;2017-08-28;0;1110358;1.0;25.0;5.0;12.46
210240;2017-08-28;0;1098674;4.0;100.0;20.0;52.24
210240;2017-08-28;0;1110358;2.0;50.0;10.0;24.92
210870;2017-08-28;0;1098560;3.0;51.0;10.2;26.160000000000004
210929;2017-08-28;0;1098677;5.0;180.0;36.0;95.35
210845;2017-08-28;0;1036513;10.0;100.0;20.0;76.5
210240;2017-08-28;0;1038625;1.0;17.0;3.4;8.56
210929;2017-08-28;0;1036623;2.0;64.0;12.8;33.8
210929;2017-08-28;0;1036103;3.0;30.0;6.0;25.77
210929;2017-08-28;0;1036196;6.0;144.0;28.8;73.86
210240;2017-08-28;0;1036196;2.0;48.0;9.6;24.62
210845;2017-08-28;0;1110358;1.0;25.0;5.0;12.46
210845;2017-08-28;0;1036103;7.0;70.0;14.0;42.95
210845;2017-08-28;0;1036903;2.0;20.0;4.0;15.08
210845;2017-08-28;0;1098823;1.0;26.0;5.2;12.85
210350;2017-08-28;0;1110348;1.0;32.0;6.4;16.15
210929;2017-08-28;0;1098674;4.0;100.0;20.0;52.24
210870;2017-08-28;0;1036623;3.0;96.0;19.200000000000003;50.699999999999996
210870;2017-08-28;0;1098674;3.0;75.0;15.0;39.18
210350;2017-08-28;0;1038229;1.0;0.0;0.0;7.56
210240;2017-08-28;0;1038229;1.0;0.0;0.0;7.56
210870;2017-08-28;0;1038466;1.0;24.0;4.8;12.07
210845;2017-08-28;0;1098825;2.0;60.0;12.0;27.98
210870;2017-08-28;0;1036196;2.0;48.0;9.6;24.62
210929;2017-08-27;0;1038466;3.0;72.0;14.399999999999999;36.21
210350;2017-08-27;0;1036103;1.0;10.0;2.0;8.59
210870;2017-08-27;0;1098817;3.0;35.7;7.14;24.119999999999997
210845;2017-08-27;0;1098824;1.0;26.0;5.2;13.09
210845;2017-08-27;0;1098826;1.0;30.0;6.0;14.0
210845;2017-08-27;0;1038625;1.0;17.0;3.4;8.56
210870;2017-08-27;0;1098817;4.0;68.0;13.6;24.119999999999997
210929;2017-08-27;0;1098823;1.0;26.0;5.2;12.85
210870;2017-08-27;0;1036513;3.0;30.0;6.0;22.950000000000003
210845;2017-08-27;0;1036513;7.0;70.0;14.0;53.55
210929;2017-08-27;0;1098560;6.0;102.0;20.4;52.32
210929;2017-08-27;0;1110347;1.0;20.0;4.0;10.63
210240;2017-08-27;0;1036903;8.0;80.0;16.0;52.78
210870;2017-08-27;0;1036623;2.0;44.8;8.96;33.8
210870;2017-08-27;0;1038229;5.0;50.0;10.0;22.68
210845;2017-08-27;0;1036103;3.0;30.0;6.0;25.77
210350;2017-08-27;0;1110358;1.0;25.0;5.0;12.46
210929;2017-08-27;0;1038203;4.0;48.0;9.6;11.04
210870;2017-08-27;0;1036623;2.0;64.0;12.8;33.8
210240;2017-08-27;0;1036623;1.0;32.0;6.4;16.9
210845;2017-08-27;0;1038229;7.0;70.0;14.0;52.92
210845;2017-08-27;0;1036623;1.0;32.0;6.4;16.9
210845;2017-08-27;0;1098825;1.0;30.0;6.0;13.99
210350;2017-08-27;0;1038203;1.0;12.0;2.4;5.52
210845;2017-08-27;0;1098678;3.0;75.0;15.0;37.230000000000004
210240;2017-08-27;0;1038203;2.0;24.0;4.8;11.04
210929;2017-08-27;0;1098817;4.0;68.0;13.6;32.16
210845;2017-08-27;0;1098823;2.0;52.0;10.4;25.7
210929;2017-08-27;0;1036903;2.0;20.0;4.0;15.08
210929;2017-08-27;0;1110346;1.0;25.0;5.0;13.06
210929;2017-08-27;0;1036513;11.0;110.0;22.0;53.55
210870;2017-08-27;0;1098825;2.0;42.0;8.4;27.98
210845;2017-08-27;0;1036903;5.0;50.0;10.0;37.7
210929;2017-08-27;0;1110358;1.0;25.0;5.0;12.46
210870;2017-08-27;0;1098678;1.0;25.0;5.0;12.41
210240;2017-08-27;0;1098825;1.0;21.0;4.2;13.99
210929;2017-08-27;0;1098822;2.0;52.0;10.4;25.7
210929;2017-08-27;0;1038229;10.0;100.0;20.0;75.600000000000009
210929;2017-08-27;0;1036103;1.0;10.0;2.0;8.59
210929;2017-08-27;0;1036196;2.0;48.0;9.6;24.62
210350;2017-08-27;0;1036196;1.0;24.0;4.8;12.31
210350;2017-08-27;0;1038466;2.0;48.0;9.6;24.14
210929;2017-08-27;0;1098677;2.0;72.0;14.4;38.14
210929;2017-08-27;0;1098674;3.0;75.0;15.0;39.18
210350;2017-08-27;0;1098678;1.0;25.0;5.0;12.41
210240;2017-08-27;0;1038229;4.0;40.0;8.0;30.24
210929;2017-08-27;0;1098678;1.0;25.0;5.0;12.41
210845;2017-08-27;0;1110359;1.0;14.0;2.8;5.93
210350;2017-08-27;0;1098817;1.0;17.0;3.4;8.04
210845;2017-08-27;0;1098817;1.0;17.0;3.4;8.04
210870;2017-08-27;0;1036903;14.0;140.0;28.0;37.7
210870;2017-08-27;0;1038229;1.0;0.0;0.0;7.56
210929;2017-08-27;0;1038625;2.0;34.0;6.8;17.12
210870;2017-08-27;0;1098674;1.0;25.0;5.0;13.06
210845;2017-08-27;0;1098677;4.0;144.0;28.8;76.28
210845;2017-08-27;0;1098674;1.0;25.0;5.0;13.06
210870;2017-08-27;0;1098826;1.0;21.0;4.2;14.0
210870;2017-08-27;0;1038466;2.0;48.0;9.6;24.14
210350;2017-08-27;0;1098674;1.0;25.0;5.0;13.06
210350;2017-08-27;0;1098825;2.0;60.0;12.0;27.98
210929;2017-08-27;0;1110349;2.0;64.0;12.8;33.78
210870;2017-08-27;0;1098677;6.0;216.0;43.2;95.35
210870;2017-08-27;0;1098825;2.0;60.0;12.0;27.98
210350;2017-08-27;0;1038229;6.0;60.0;12.0;37.8
210870;2017-08-27;0;1110348;3.0;96.0;19.200000000000003;32.3
210929;2017-08-27;0;1036623;2.0;64.0;12.8;33.8
210240;2017-08-27;0;1098677;2.0;72.0;14.4;19.07
210350;2017-08-27;0;1098825;2.0;42.0;8.4;27.98
210240;2017-08-27;0;1098825;1.0;30.0;6.0;13.99
210240;2017-08-27;0;1036103;3.0;30.0;6.0;17.18
210240;2017-08-27;0;1036513;6.0;60.0;12.0;45.9
210929;2017-08-27;0;1098826;1.0;30.0;6.0;14.0
210870;2017-08-27;0;1036103;13.0;130.0;26.0;34.36
210845;2017-08-27;0;1098560;2.0;34.0;6.8;17.44
210350;2017-08-26;0;1038229;8.0;80.0;16.0;52.92
210845;2017-08-26;0;1098817;2.0;34.0;6.8;16.08
210929;2017-08-26;0;1110346;1.0;25.0;5.0;13.06
210845;2017-08-26;0;1098822;2.0;52.0;10.4;12.85
210240;2017-08-26;0;1036513;7.0;70.0;14.0;53.55
